step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ
184,0.056790123456790124,175910,32.78568144136282,0.0004399219650830781,0.18533582289972017,1851.6931360622775,68.7982759475708,0.12905319780249164
185,0.05709876543209876,176920,28.91098037402782,0.00042248194466070274,0.1779884731583667,1836.794591872457,67.76688718795776,0.10067994783996433
186,0.05740740740740741,177926,34.449103887244625,0.00040274879126089716,0.16967504370032926,1763.551539244842,68.85495781898499,0.10855255190890828
187,0.05771604938271605,178935,32.73833254864567,0.0003884909108173878,0.16366830565462925,1724.2971707113918,77.6847710609436,0.1376484084735607
188,0.05802469135802469,179945,31.89418855180807,0.0003805034707760797,0.16030325709962373,1991.7038455736015,68.72643804550171,0.27757687052298513
189,0.058333333333333334,180944,27.756339854799435,0.0003777614203950603,0.1591480518492954,2191.2653750077043,93.33203887939453,0.20590606997127306
190,0.05864197530864197,181923,31.383218750152476,0.0003788121774452109,0.15959072791008397,2318.44340070477,94.26204204559326,0.33298405324135283
191,0.05895061728395062,182915,26.74570667361376,0.00038289252962002174,0.16130974966408168,2375.163567050982,94.4638409614563,0.24038537973478033
192,0.05925925925925926,183907,41.161713657466095,0.0003901318507678291,0.16435962134282553,2353.9998075013186,57.853501081466675,0.2869408369288838
193,0.0595679012345679,184894,24.658366802089397,0.0003999635944165946,0.1685016611687727,2277.6235263948543,61.18709206581116,0.1909264721098027
194,0.059876543209876544,185897,26.642886539359264,0.00041043724571777863,0.17291413187207821,3198.9235076732602,81.72636485099792,0.20677598674979572
195,0.06018518518518518,186913,27.85454729809604,0.0004196794547970411,0.17680780520751374,3901.16746006529,99.61330008506775,0.21273375443715942
196,0.06049382716049383,187912,25.209968705476392,0.000427367256089649,0.18004661820605528,4377.389181899719,108.69974613189697,0.19527646817941094
197,0.06080246913580247,188928,28.09045041894725,0.00043331810609798416,0.18255366666188613,5010.993553723096,66.1789698600769,0.4619578048668556
198,0.06111111111111111,189933,26.254825946177967,0.0004345117994092945,0.18305656069696757,5456.033723637134,107.16788101196289,0.2921820690002197
199,0.061419753086419754,190943,29.058450762534115,0.0004259740557585103,0.17945967336053706,6025.485624560493,77.80938601493835,0.24839145991716347
200,0.06172839506172839,191960,29.92295974614657,0.0004168083813166479,0.1755982434935544,6502.03264408307,123.39543604850769,0.22639707339095674
201,0.062037037037037036,192983,27.938244976909264,0.0004176427984910146,0.17594977718799884,6836.795762391777,106.2284049987793,0.20877246646364706
202,0.06234567901234568,193993,27.69591522175085,0.00042131001222526506,0.17749474681700592,6740.746397727269,96.07066583633423,0.3362154289230201
203,0.06265432098765432,195013,29.795198148519205,0.00042857719333496406,0.18055635568864525,7461.569003333198,97.22202014923096,0.21503003752852234
