cos_theta,P_num,P_exact,rel_err,is_cap
7.092501e-01,6.870591e-01,6.642838e-01,2.055303e-02,0
6.484764e-01,6.176799e-01,5.773840e-01,3.636410e-02,0
6.268096e-01,5.665852e-01,5.470183e-01,1.765769e-02,0
5.623448e-01,4.943950e-01,4.585846e-01,3.231617e-02,0
5.202813e-01,4.182307e-01,4.024251e-01,1.426341e-02,0
4.546027e-01,3.466260e-01,3.171749e-01,2.657735e-02,0
3.937588e-01,2.524024e-01,2.408523e-01,1.042313e-02,0
3.293905e-01,1.845635e-01,1.628855e-01,1.956272e-02,0
2.521044e-01,7.988943e-02,7.304382e-02,6.177656e-03,0
1.915200e-01,1.855819e-02,5.494907e-03,1.178863e-02,0
1.007617e-01,-8.922392e-02,-9.096411e-02,1.570389e-03,0
4.628941e-02,-1.419046e-01,-1.461324e-01,3.815225e-03,0
-5.445314e-02,-2.464716e-01,-2.427747e-01,3.336140e-03,0
-1.007200e-01,-2.890424e-01,-2.848151e-01,3.814819e-03,0
-2.075754e-01,-3.856305e-01,-3.762722e-01,8.445228e-03,0
-2.438588e-01,-4.173205e-01,-4.055376e-01,1.063315e-02,0
-3.527206e-01,-5.029874e-01,-4.878995e-01,1.361573e-02,0
-3.776263e-01,-5.236464e-01,-5.055946e-01,1.629039e-02,0
-4.843110e-01,-5.972324e-01,-5.765558e-01,1.865910e-02,0
-4.968817e-01,-6.072091e-01,-5.844007e-01,2.058287e-02,0
-5.972896e-01,-6.690222e-01,-6.431530e-01,2.334504e-02,0
-5.970423e-01,-6.690116e-01,-6.430168e-01,2.345835e-02,0
-6.873147e-01,-7.203038e-01,-6.899234e-01,2.741598e-02,0
-6.742589e-01,-7.111909e-01,-6.834868e-01,2.500088e-02,0
-7.509267e-01,-7.535226e-01,-7.196044e-01,3.060870e-02,0
-7.255641e-01,-7.362487e-01,-7.081046e-01,2.539794e-02,0
-7.856810e-01,-7.708570e-01,-7.346427e-01,3.268076e-02,0
-7.489863e-01,-7.463278e-01,-7.187402e-01,2.489569e-02,0
-7.902420e-01,-7.736079e-01,-7.365544e-01,3.343800e-02,0
-7.436254e-01,-7.426569e-01,-7.163393e-01,2.374968e-02,0
-7.644344e-01,-7.618497e-01,-7.255481e-01,3.275947e-02,0
-7.096873e-01,-7.252574e-01,-7.006802e-01,2.217908e-02,0
-7.092501e-01,-7.343997e-01,-7.004733e-01,3.061606e-02,0
-6.484764e-01,-6.929608e-01,-6.704308e-01,2.033160e-02,0
-6.268096e-01,-6.891128e-01,-6.591048e-01,2.707998e-02,0
-5.623448e-01,-6.437331e-01,-6.234937e-01,1.826452e-02,0
-5.202813e-01,-6.234508e-01,-5.987134e-01,2.232360e-02,0
-4.546027e-01,-5.752518e-01,-5.575833e-01,1.594454e-02,0
-3.937588e-01,-5.352313e-01,-5.168284e-01,1.660720e-02,0
-3.293905e-01,-4.856367e-01,-4.709361e-01,1.326627e-02,0
-2.521044e-01,-4.234281e-01,-4.120618e-01,1.025723e-02,0
-1.915200e-01,-3.742091e-01,-3.630327e-01,1.008588e-02,0
-1.007617e-01,-2.888832e-01,-2.848524e-01,3.637475e-03,0
-4.628941e-02,-2.421451e-01,-2.352037e-01,6.264161e-03,0
5.445314e-02,-1.347997e-01,-1.379946e-01,2.883155e-03,0
1.007200e-01,-9.290397e-02,-9.100715e-02,1.711740e-03,0
2.075754e-01,3.308096e-02,2.314969e-02,8.962223e-03,0
2.438588e-01,6.765945e-02,6.370170e-02,3.571574e-03,0
3.527206e-01,2.066728e-01,1.908146e-01,1.431091e-02,0
3.776263e-01,2.315375e-01,2.210435e-01,9.470097e-03,0
4.843110e-01,3.761048e-01,3.553679e-01,1.871354e-02,0
4.968817e-01,3.891575e-01,3.717118e-01,1.574342e-02,0
5.972896e-01,5.305871e-01,5.061669e-01,2.203738e-02,0
5.970423e-01,5.302478e-01,5.058272e-01,2.203775e-02,0
6.873147e-01,6.594774e-01,6.326251e-01,2.423221e-02,0
6.742589e-01,6.448745e-01,6.139394e-01,2.791663e-02,0
7.509267e-01,7.534061e-01,7.253479e-01,2.532043e-02,0
7.255641e-01,7.245099e-01,6.880444e-01,3.290739e-02,0
7.856810e-01,8.053089e-01,7.771847e-01,2.538000e-02,0
7.489863e-01,7.629879e-01,7.224783e-01,3.655683e-02,0
8.940992e-01,9.776499e-01,9.442409e-01,3.014912e-02,0
8.573863e-01,9.337439e-01,8.867648e-01,4.239510e-02,0
8.651066e-01,9.295533e-01,8.987743e-01,2.777567e-02,0
8.184758e-01,8.741757e-01,8.268622e-01,4.269688e-02,0
8.028685e-01,8.304491e-01,8.031279e-01,2.465540e-02,0
7.481118e-01,7.664498e-01,7.211859e-01,4.084727e-02,0
7.097766e-01,6.882645e-01,6.650477e-01,2.095138e-02,0
6.489983e-01,6.189715e-01,5.781195e-01,3.686589e-02,0
5.894083e-01,5.139607e-01,4.953619e-01,1.678406e-02,0
5.249442e-01,4.428908e-01,4.085904e-01,3.095349e-02,0
4.463894e-01,3.202756e-01,3.067232e-01,1.223001e-02,0
3.807167e-01,2.508398e-01,2.248243e-01,2.347702e-02,0
2.862161e-01,1.203141e-01,1.121897e-01,7.331656e-03,0
2.218585e-01,5.555381e-02,3.900487e-02,1.493418e-02,0
1.150436e-01,-7.381684e-02,-7.616150e-02,2.115879e-03,0
5.447440e-02,-1.314328e-01,-1.379734e-01,5.902314e-03,0
-6.055000e-02,-2.521472e-01,-2.483990e-01,3.382490e-03,0
-1.150031e-01,-3.008440e-01,-2.974955e-01,3.021692e-03,0
-2.338167e-01,-4.076090e-01,-3.975286e-01,9.096778e-03,0
-2.800611e-01,-4.463359e-01,-4.338336e-01,1.128241e-02,0
-3.980979e-01,-5.363404e-01,-5.198193e-01,1.490902e-02,0
-4.343565e-01,-5.647162e-01,-5.443050e-01,1.841952e-02,0
-5.470804e-01,-6.375127e-01,-6.146421e-01,2.063900e-02,0
-5.719599e-01,-6.557008e-01,-6.289868e-01,2.410731e-02,0
-6.750389e-01,-7.127354e-01,-6.838747e-01,2.604466e-02,0
-6.875831e-01,-7.212759e-01,-6.900545e-01,2.817494e-02,0
-7.770561e-01,-7.651570e-01,-7.309883e-01,3.083465e-02,0
-7.767829e-01,-7.647868e-01,-7.308717e-01,3.060583e-02,0
-8.492115e-01,-7.984247e-01,-7.599812e-01,3.469234e-02,0
-8.361314e-01,-7.899164e-01,-7.549917e-01,3.151695e-02,0
-8.887321e-01,-8.156826e-01,-7.743405e-01,3.730810e-02,0
-8.633478e-01,-7.997286e-01,-7.652411e-01,3.112234e-02,0
-8.940992e-01,-8.187771e-01,-7.762076e-01,3.841581e-02,0
-8.573863e-01,-7.959366e-01,-7.630397e-01,2.968695e-02,0
-8.651066e-01,-8.078044e-01,-7.658859e-01,3.782827e-02,0
-8.184758e-01,-7.785194e-01,-7.480699e-01,2.747843e-02,0
-8.028685e-01,-7.810734e-01,-7.417722e-01,3.546644e-02,0
-7.481118e-01,-7.457478e-01,-7.183499e-01,2.472451e-02,0
-7.097766e-01,-7.354931e-01,-7.007224e-01,3.137791e-02,0
-6.489983e-01,-6.946157e-01,-6.706996e-01,2.158247e-02,0
-5.894083e-01,-6.673176e-01,-6.387926e-01,2.574169e-02,0
-5.249442e-01,-6.216056e-01,-6.015205e-01,1.812531e-02,0
-4.463894e-01,-5.731277e-01,-5.522307e-01,1.885796e-02,0
-3.807167e-01,-5.236578e-01,-5.077605e-01,1.434616e-02,0
-2.862161e-01,-4.508811e-01,-4.385545e-01,1.112384e-02,0
-2.218585e-01,-3.991815e-01,-3.879009e-01,1.017986e-02,0
-1.150436e-01,-3.008533e-01,-2.975312e-01,2.997905e-03,0
-5.447440e-02,-2.489306e-01,-2.427944e-01,5.537450e-03,0
6.055000e-02,-1.263001e-01,-1.318872e-01,5.041953e-03,0
1.150031e-01,-7.658876e-02,-7.620362e-02,3.475647e-04,0
2.338167e-01,6.628561e-02,5.238734e-02,1.254215e-02,0
2.800611e-01,1.110542e-01,1.050672e-01,5.402848e-03,0
3.980979e-01,2.673902e-01,2.462108e-01,1.911282e-02,0
4.343565e-01,3.043887e-01,2.914949e-01,1.163565e-02,0
5.470804e-01,4.651668e-01,4.380639e-01,2.445830e-02,0
5.719599e-01,4.917196e-01,4.715929e-01,1.816279e-02,0
6.750389e-01,6.465178e-01,6.150525e-01,2.839505e-02,0
6.875831e-01,6.603653e-01,6.330105e-01,2.468566e-02,0
7.770561e-01,7.984345e-01,7.642429e-01,3.085537e-02,0
7.767829e-01,7.979794e-01,7.638338e-01,3.081387e-02,0
8.492115e-01,9.094171e-01,8.740931e-01,3.187729e-02,0
8.361314e-01,8.939187e-01,8.539136e-01,3.610152e-02,0
8.887321e-01,9.707782e-01,9.357804e-01,3.158290e-02,0
8.633478e-01,9.404666e-01,8.960348e-01,4.009637e-02,0
9.635250e-01,1.094230e+00,1.055469e+00,3.497843e-02,0
9.382102e-01,1.063354e+00,1.014527e+00,4.406195e-02,0
9.324641e-01,1.040662e+00,1.005296e+00,3.191529e-02,0
8.958224e-01,9.964265e-01,9.469615e-01,4.463844e-02,0
8.655691e-01,9.305376e-01,8.994951e-01,2.801353e-02,0
8.190087e-01,8.754007e-01,8.276755e-01,4.306837e-02,0
7.654108e-01,7.729031e-01,7.468502e-01,2.351080e-02,0
7.107210e-01,7.099693e-01,6.664185e-01,3.930133e-02,0
6.358382e-01,5.802336e-01,5.596325e-01,1.859096e-02,0
5.751206e-01,5.129665e-01,4.758830e-01,3.346508e-02,0
4.818307e-01,3.669775e-01,3.521559e-01,1.337534e-02,0
4.174186e-01,2.988877e-01,2.702281e-01,2.586316e-02,0
3.093067e-01,1.479289e-01,1.391432e-01,7.928400e-03,0
2.436755e-01,8.227868e-02,6.349459e-02,1.695123e-02,0
1.248963e-01,-6.334557e-02,-6.586759e-02,2.275932e-03,0
6.056812e-02,-1.237856e-01,-1.318690e-01,7.294617e-03,0
-6.431390e-02,-2.558121e-01,-2.518584e-01,3.567965e-03,0
-1.248669e-01,-3.089267e-01,-3.061704e-01,2.487327e-03,0
-2.510525e-01,-4.218375e-01,-4.112322e-01,9.570516e-03,0
-3.055033e-01,-4.662359e-01,-4.531790e-01,1.178281e-02,0
-4.281433e-01,-5.575183e-01,-5.401735e-01,1.565233e-02,0
-4.743995e-01,-5.925082e-01,-5.702936e-01,2.004702e-02,0
-5.887808e-01,-6.624538e-01,-6.384436e-01,2.166740e-02,0
-6.250647e-01,-6.879336e-01,-6.581786e-01,2.685165e-02,0
-7.267918e-01,-7.390290e-01,-7.086715e-01,2.739540e-02,0
-7.517090e-01,-7.553214e-01,-7.199520e-01,3.191817e-02,0
-8.368726e-01,-7.913454e-01,-7.552776e-01,3.254847e-02,0
-8.494656e-01,-7.990067e-01,-7.600770e-01,3.513115e-02,0
-9.147929e-01,-8.239914e-01,-7.832205e-01,3.679260e-02,0
-9.145777e-01,-8.236297e-01,-7.831491e-01,3.653063e-02,0
-9.575581e-01,-8.408609e-01,-7.967784e-01,3.978116e-02,0
-9.445431e-01,-8.329947e-01,-7.927856e-01,3.628568e-02,0
-9.635250e-01,-8.442204e-01,-7.985699e-01,4.119618e-02,0
-9.382102e-01,-8.292016e-01,-7.908006e-01,3.465396e-02,0
